MPIO_NCDGO;MPIO_CNMBR;VGV_NVALOR
5001;Medellín;0
5002;Abejorral;0
5004;Abriaquí;0
5021;Alejandría;0
5030;Amagá;0
5031;Amalfi;0
5034;Andes;0
5036;Angelópolis;0
5038;Angostura;0
5040;Anorí;0
5042;Santa Fé de Antioquia;0
5044;Anzá;0
5045;Apartadó;0
5051;Arboletes;0
5055;Argelia;0
5059;Armenia;0
5079;Barbosa;0
5086;Belmira;0
5088;Bello;0
5091;Betania;0
5093;Betulia;0
5101;Ciudad Bolívar;0
5107;Briceño;0
5113;Buriticá;0
5120;Cáceres;0
5125;Caicedo;0
5129;Caldas;0
5134;Campamento;0
5138;Cañasgordas;0
5142;Caracolí;0
5145;Caramanta;0
5147;Carepa;0
5148;El Carmen de Viboral;0
5150;Carolina;0
5154;Caucasia;0
5172;Chigorodó;0
5190;Cisneros;0
5197;Cocorná;0
5206;Concepción;0
5209;Concordia;0
5212;Copacabana;0
5234;Dabeiba;0
5237;Donmatías;0
5240;Ebéjico;0
5250;El Bagre;0
5264;Entrerríos;0
5266;Envigado;0
5282;Fredonia;0
5284;Frontino;0
5306;Giraldo;0
5308;Girardota;0
5310;Gómez Plata;0
5313;Granada;0
5315;Guadalupe;0
5318;Guarne;0
5321;Guatapé;0
5347;Heliconia;0
5353;Hispania;0
5360;Itagüí;0
5361;Ituango;0
5364;Jardín;0
5368;Jericó;0
5376;La Ceja;0
5380;La Estrella;0
5390;La Pintada;0
5400;La Unión;0
5411;Liborina;0
5425;Maceo;0
5440;Marinilla;0
5467;Montebello;0
5475;Murindó;0
5480;Mutatá;0
5483;Nariño;0
5490;Necoclí;0
5495;Nechí;0
5501;Olaya;0
5541;Peñol;0
5543;Peque;0
5576;Pueblorrico;0
5579;Puerto Berrío;0
5585;Puerto Nare;0
5591;Puerto Triunfo;0
5604;Remedios;0
5607;Retiro;0
5615;Rionegro;0
5628;Sabanalarga;0
5631;Sabaneta;0
5642;Salgar;0
5647;San Andrés de Cuerquía;0
5649;San Carlos;0
5652;San Francisco;0
5656;San Jerónimo;0
5658;San José de la Montaña;0
5659;San Juan de Urabá;0
5660;San Luis;0
5664;San Pedro de Los Milagros;0
5665;San Pedro de Urabá;0
5667;San Rafael;0
5670;San Roque;0
5674;San Vicente Ferrer;0
5679;Santa Bárbara;0
5686;Santa Rosa de Osos;0
5690;Santo Domingo;0
5697;El Santuario;0
5736;Segovia;0
5756;Sonsón;0
5761;Sopetrán;0
5789;Támesis;0
5790;Tarazá;0
5792;Tarso;0
5809;Titiribí;0
5819;Toledo;0
5837;Turbo;0
5842;Uramita;0
5847;Urrao;0
5854;Valdivia;0
5856;Valparaíso;0
5858;Vegachí;0
5861;Venecia;0
5873;Vigía del Fuerte;0
5885;Yalí;0
5887;Yarumal;0
5890;Yolombó;0
5893;Yondó;0
5895;Zaragoza;0
8001;Barranquilla;0
8078;Baranoa;0
8137;Campo de la Cruz;0
8141;Candelaria;0
8296;Galapa;0
8372;Juan de Acosta;0
8421;Luruaco;0
8433;Malambo;0
8436;Manatí;0
8520;Palmar de Varela;0
8549;Piojó;0
8558;Polonuevo;0
8560;Ponedera;0
8573;Puerto Colombia;0
8606;Repelón;0
8634;Sabanagrande;0
8638;Sabanalarga;0
8675;Santa Lucía;0
8685;Santo Tomás;0
8758;Soledad;0
8770;Suan;0
8832;Tubará;0
8849;Usiacurí;0
11001;Bogotá, D.C.;0
13001;Cartagena de Indias;0
13006;Achí;0
13030;Altos del Rosario;0
13042;Arenal;0
13052;Arjona;0
13062;Arroyohondo;0
13074;Barranco de Loba;0
13140;Calamar;0
13160;Cantagallo;0
13188;Cicuco;0
13212;Córdoba;0
13222;Clemencia;0
13244;El Carmen de Bolívar;0
13248;El Guamo;0
13268;El Peñón;0
13300;Hatillo de Loba;0
13430;Magangué;0
13433;Mahates;0
13440;Margarita;0
13442;María la Baja;0
13458;Montecristo;0
13468;Mompós;0
13473;Morales;0
13490;Norosí;0
13549;Pinillos;0
13580;Regidor;0
13600;Río Viejo;0
13620;San Cristóbal;0
13647;San Estanislao;0
13650;San Fernando;0
13654;San Jacinto;0
13655;San Jacinto del Cauca;0
13657;San Juan Nepomuceno;0
13667;San Martín de Loba;0
13670;San Pablo;0
13673;Santa Catalina;0
13683;Santa Rosa;0
13688;Santa Rosa del Sur;0
13744;Simití;0
13760;Soplaviento;0
13780;Talaigua Nuevo;0
13810;Tiquisio;0
13836;Turbaco;0
13838;Turbaná;0
13873;Villanueva;0
13894;Zambrano;0
15001;Tunja;0
15022;Almeida;0
15047;Aquitania;0
15051;Arcabuco;0
15087;Belén;0
15090;Berbeo;0
15092;Betéitiva;0
15097;Boavita;0
15104;Boyacá;0
15106;Briceño;0
15109;Buenavista;0
15114;Busbanzá;0
15131;Caldas;0
15135;Campohermoso;0
15162;Cerinza;0
15172;Chinavita;0
15176;Chiquinquirá;0
15180;Chiscas;0
15183;Chita;0
15185;Chitaraque;0
15187;Chivatá;0
15189;Ciénega;0
15204;Cómbita;0
15212;Coper;0
15215;Corrales;0
15218;Covarachía;0
15223;Cubará;0
15224;Cucaita;0
15226;Cuítiva;0
15232;Chíquiza;0
15236;Chivor;0
15238;Duitama;0
15244;El Cocuy;0
15248;El Espino;0
15272;Firavitoba;0
15276;Floresta;0
15293;Gachantivá;0
15296;Gámeza;0
15299;Garagoa;0
15317;Guacamayas;0
15322;Guateque;0
15325;Guayatá;0
15332;Güicán de la Sierra;0
15362;Iza;0
15367;Jenesano;0
15368;Jericó;0
15377;Labranzagrande;0
15380;La Capilla;0
15401;La Victoria;0
15403;La Uvita;0
15407;Villa de Leyva;0
15425;Macanal;0
15442;Maripí;0
15455;Miraflores;0
15464;Mongua;0
15466;Monguí;0
15469;Moniquirá;0
15476;Motavita;0
15480;Muzo;0
15491;Nobsa;0
15494;Nuevo Colón;0
15500;Oicatá;0
15507;Otanche;0
15511;Pachavita;0
15514;Páez;0
15516;Paipa;0
15518;Pajarito;0
15522;Panqueba;0
15531;Pauna;0
15533;Paya;0
15537;Paz de Río;0
15542;Pesca;0
15550;Pisba;0
15572;Puerto Boyacá;0
15580;Quípama;0
15599;Ramiriquí;0
15600;Ráquira;0
15621;Rondón;0
15632;Saboyá;0
15638;Sáchica;0
15646;Samacá;0
15660;San Eduardo;0
15664;San José de Pare;0
15667;San Luis de Gaceno;0
15673;San Mateo;0
15676;San Miguel de Sema;0
15681;San Pablo de Borbur;0
15686;Santana;0
15690;Santa María;0
15693;Santa Rosa de Viterbo;0
15696;Santa Sofía;0
15720;Sativanorte;0
15723;Sativasur;0
15740;Siachoque;0
15753;Soatá;0
15755;Socotá;0
15757;Socha;0
15759;Sogamoso;0
15761;Somondoco;0
15762;Sora;0
15763;Sotaquirá;0
15764;Soracá;0
15774;Susacón;0
15776;Sutamarchán;0
15778;Sutatenza;0
15790;Tasco;0
15798;Tenza;0
15804;Tibaná;0
15806;Tibasosa;0
15808;Tinjacá;0
15810;Tipacoque;0
15814;Toca;0
15816;Togüí;0
15820;Tópaga;0
15822;Tota;0
15832;Tununguá;0
15835;Turmequé;0
15837;Tuta;0
15839;Tutazá;0
15842;Úmbita;0
15861;Ventaquemada;0
15879;Viracachá;0
15897;Zetaquira;0
17001;Manizales;0
17013;Aguadas;0
17042;Anserma;0
17050;Aranzazu;0
17088;Belalcázar;0
17174;Chinchiná;0
17272;Filadelfia;0
17380;La Dorada;0
17388;La Merced;0
17433;Manzanares;0
17442;Marmato;0
17444;Marquetalia;0
17446;Marulanda;0
17486;Neira;0
17495;Norcasia;0
17513;Pácora;0
17524;Palestina;0
17541;Pensilvania;0
17614;Riosucio;0
17616;Risaralda;0
17653;Salamina;0
17662;Samaná;0
17665;San José;0
17777;Supía;0
17867;Victoria;0
17873;Villamaría;0
17877;Viterbo;0
18001;Florencia;0
18029;Albania;0
18094;Belén de Los Andaquíes;0
18150;Cartagena del Chairá;0
18205;Curillo;0
18247;El Doncello;0
18256;El Paujíl;0
18410;La Montañita;0
18460;Milán;0
18479;Morelia;0
18592;Puerto Rico;0
18610;San José del Fragua;0
18753;San Vicente del Caguán;0
18756;Solano;0
18785;Solita;0
18860;Valparaíso;0
19001;Popayán;0
19022;Almaguer;0
19050;Argelia;0
19075;Balboa;0
19100;Bolívar;0
19110;Buenos Aires;0
19130;Cajibío;0
19137;Caldono;0
19142;Caloto;0
19212;Corinto;0
19256;El Tambo;0
19290;Florencia;0
19300;Guachené;0
19318;Guapi;0
19355;Inzá;0
19364;Jambaló;0
19392;La Sierra;0
19397;La Vega;0
19418;López de Micay;0
19450;Mercaderes;0
19455;Miranda;0
19473;Morales;0
19513;Padilla;0
19517;Páez;0
19532;Patía;0
19533;Piamonte;0
19548;Piendamó - Tunía;0
19573;Puerto Tejada;0
19585;Puracé;0
19622;Rosas;0
19693;San Sebastián;0
19698;Santander de Quilichao;0
19701;Santa Rosa;0
19743;Silvia;0
19760;Sotará - Paispamba;0
19780;Suárez;0
19785;Sucre;0
19807;Timbío;0
19809;Timbiquí;0
19821;Toribío;0
19824;Totoró;0
19845;Villa Rica;0
20001;Valledupar;0
20011;Aguachica;0
20013;Agustín Codazzi;0
20032;Astrea;0
20045;Becerril;0
20060;Bosconia;0
20175;Chimichagua;0
20178;Chiriguaná;0
20228;Curumaní;0
20238;El Copey;0
20250;El Paso;0
20295;Gamarra;0
20310;González;0
20383;La Gloria;0
20400;La Jagua de Ibirico;0
20443;Manaure Balcón del Cesar;0
20517;Pailitas;0
20550;Pelaya;0
20570;Pueblo Bello;0
20614;Río de Oro;0
20621;La Paz;0
20710;San Alberto;0
20750;San Diego;0
20770;San Martín;0
20787;Tamalameque;0
23001;Montería;0
23068;Ayapel;0
23079;Buenavista;0
23090;Canalete;0
23162;Cereté;0
23168;Chimá;0
23182;Chinú;0
23189;Ciénaga de Oro;0
23300;Cotorra;0
23350;La Apartada;0
23417;Lorica;0
23419;Los Córdobas;0
23464;Momil;0
23466;Montelíbano;0
23500;Moñitos;0
23555;Planeta Rica;0
23570;Pueblo Nuevo;0
23574;Puerto Escondido;0
23580;Puerto Libertador;0
23586;Purísima de la Concepción;0
23660;Sahagún;0
23670;San Andrés de Sotavento;0
23672;San Antero;0
23675;San Bernardo del Viento;0
23678;San Carlos;0
23682;San José de Uré;0
23686;San Pelayo;0
23807;Tierralta;0
23815;Tuchín;0
23855;Valencia;0
25001;Agua de Dios;0
25019;Albán;0
25035;Anapoima;0
25040;Anolaima;0
25053;Arbeláez;0
25086;Beltrán;0
25095;Bituima;0
25099;Bojacá;0
25120;Cabrera;0
25123;Cachipay;0
25126;Cajicá;0
25148;Caparrapí;0
25151;Cáqueza;0
25154;Carmen de Carupa;0
25168;Chaguaní;0
25175;Chía;0
25178;Chipaque;0
25181;Choachí;0
25183;Chocontá;0
25200;Cogua;0
25214;Cota;0
25224;Cucunubá;0
25245;El Colegio;0
25258;El Peñón;0
25260;El Rosal;0
25269;Facatativá;0
25279;Fómeque;0
25281;Fosca;0
25286;Funza;0
25288;Fúquene;0
25290;Fusagasugá;0
25293;Gachalá;0
25295;Gachancipá;0
25297;Gachetá;0
25299;Gama;0
25307;Girardot;0
25312;Granada;0
25317;Guachetá;0
25320;Guaduas;0
25322;Guasca;0
25324;Guataquí;0
25326;Guatavita;0
25328;Guayabal de Síquima;0
25335;Guayabetal;0
25339;Gutiérrez;0
25368;Jerusalén;0
25372;Junín;0
25377;La Calera;0
25386;La Mesa;0
25394;La Palma;0
25398;La Peña;0
25402;La Vega;0
25407;Lenguazaque;0
25426;Machetá;0
25430;Madrid;0
25436;Manta;0
25438;Medina;0
25473;Mosquera;0
25483;Nariño;0
25486;Nemocón;0
25488;Nilo;0
25489;Nimaima;0
25491;Nocaima;0
25506;Venecia;0
25513;Pacho;0
25518;Paime;0
25524;Pandi;0
25530;Paratebueno;0
25535;Pasca;0
25572;Puerto Salgar;0
25580;Pulí;0
25592;Quebradanegra;0
25594;Quetame;0
25596;Quipile;0
25599;Apulo;0
25612;Ricaurte;0
25645;San Antonio del Tequendama;0
25649;San Bernardo;0
25653;San Cayetano;0
25658;San Francisco;0
25662;San Juan de Rioseco;0
25718;Sasaima;0
25736;Sesquilé;0
25740;Sibaté;0
25743;Silvania;0
25745;Simijaca;0
25754;Soacha;0
25758;Sopó;0
25769;Subachoque;0
25772;Suesca;0
25777;Supatá;0
25779;Susa;0
25781;Sutatausa;0
25785;Tabio;0
25793;Tausa;0
25797;Tena;0
25799;Tenjo;0
25805;Tibacuy;0
25807;Tibirita;0
25815;Tocaima;0
25817;Tocancipá;0
25823;Topaipí;0
25839;Ubalá;0
25841;Ubaque;0
25843;Villa de San Diego de Ubaté;0
25845;Une;0
25851;Útica;0
25862;Vergara;0
25867;Vianí;0
25871;Villagómez;0
25873;Villapinzón;0
25875;Villeta;0
25878;Viotá;0
25885;Yacopí;0
25898;Zipacón;0
25899;Zipaquirá;0
27001;Quibdó;0
27006;Acandí;0
27025;Alto Baudó;0
27050;Atrato;0
27073;Bagadó;0
27075;Bahía Solano;0
27077;Bajo Baudó;0
27099;Bojayá;0
27135;El Cantón del San Pablo;0
27150;Carmen del Darién;0
27160;Cértegui;0
27205;Condoto;0
27245;El Carmen de Atrato;0
27250;El Litoral del San Juan;0
27361;Istmina;0
27372;Juradó;0
27413;Lloró;0
27425;Medio Atrato;0
27430;Medio Baudó;0
27450;Medio San Juan;0
27491;Nóvita;0
27495;Nuquí;0
27580;Río Iró;0
27600;Río Quito;0
27615;Riosucio;0
27660;San José del Palmar;0
27745;Sipí;0
27787;Tadó;0
27800;Unguía;0
27810;Unión Panamericana;0
41001;Neiva;0
41006;Acevedo;0
41013;Agrado;0
41016;Aipe;0
41020;Algeciras;0
41026;Altamira;0
41078;Baraya;0
41132;Campoalegre;0
41206;Colombia;0
41244;Elías;0
41298;Garzón;0
41306;Gigante;0
41319;Guadalupe;0
41349;Hobo;0
41357;Íquira;0
41359;Isnos;0
41378;La Argentina;0
41396;La Plata;0
41483;Nátaga;0
41503;Oporapa;0
41518;Paicol;0
41524;Palermo;0
41530;Palestina;0
41548;Pital;0
41551;Pitalito;0
41615;Rivera;0
41660;Saladoblanco;0
41668;San Agustín;0
41676;Santa María;0
41770;Suaza;0
41791;Tarqui;0
41797;Tesalia;0
41799;Tello;0
41801;Teruel;0
41807;Timaná;0
41872;Villavieja;0
41885;Yaguará;0
44001;Riohacha;0
44035;Albania;0
44078;Barrancas;0
44090;Dibulla;0
44098;Distracción;0
44110;El Molino;0
44279;Fonseca;0
44378;Hatonuevo;0
44420;La Jagua del Pilar;0
44430;Maicao;0
44560;Manaure;0
44650;San Juan del Cesar;0
44847;Uribia;0
44855;Urumita;0
44874;Villanueva;0
47001;Santa Marta;0
47030;Algarrobo;0
47053;Aracataca;0
47058;Ariguaní;0
47161;Cerro de San Antonio;0
47170;Chivolo;0
47189;Ciénaga;0
47205;Concordia;0
47245;El Banco;0
47258;El Piñón;0
47268;El Retén;0
47288;Fundación;0
47318;Guamal;0
47460;Nueva Granada;0
47541;Pedraza;0
47545;Pijiño del Carmen;0
47551;Pivijay;0
47555;Plato;0
47570;Puebloviejo;0
47605;Remolino;0
47660;Sabanas de San Ángel;0
47675;Salamina;0
47692;San Sebastián de Buenavista;0
47703;San Zenón;0
47707;Santa Ana;0
47720;Santa Bárbara de Pinto;0
